district,name,location,taluk,village,status,contacts,facilities_available,total_people,total_males,total_females,total_infants,food_req,clothing_req,sanitary_req,medical_req,other_req
ekm,എസ്.എസ്.വി സഭാ ഹാള്‍,"എസ്.എസ്.വി സഭാ ഹാള്‍, നായരമ്പലം പി.ഒ, പിന്‍ 682509",കൊച്ചി,നായരമ്പലം,closed,,എല്ലാവിധ അടിസ്ഥാന സൌകര്യങ്ങളും ലഭ്യമാക്കിയിട്ടുണ്ട്,,,,,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,
ptm,GLPS Edijillam,GLPS Edijillam,Thiruvalla,Kavumbhagam,active,,,125,,,,,,,,
ptm,Govt Girls HS Thiruvalla,Govt Girls HS Thiruvalla,Thiruvalla,Kavumbhagam,active,,,40,,,,,,,,
ptm,GLPS Muthoor,GLPS Muthoor,Thiruvalla,Kavumbhagam,active,,,60,,,,,,,,
ptm,Kalarikkal Building Edijillam,Kalarikkal Building Edijillam,Thiruvalla,Kavumbhagam,active,,,120,,,,,,,,
ptm,Padyil House,Padyil House,Thiruvalla,Kavumbhagam,active,,,80,,,,,,,,
ptm,"GHSS,Thiruvalla","GHSS,Thiruvalla",Thiruvalla,Kavumbhagam,active,,,60,,,,,,,,
ptm,Vailoppillil Bridge,Vailoppillil Bridge,Thiruvalla,Kavumbhagam,active,,,150,,,,,,,,
ptm,Vengal Health Center,Vengal Health Center,Thiruvalla,Kavumbhagam,active,,,70,,,,,,,,
ptm,Vallabhasseryil,Vallabhasseryil,Thiruvalla,Kavumbhagam,active,,,65,,,,,,,,
ekm,വാടേല്‍ പള്ളി ഹാള്‍,"വാടേല്‍ പള്ളി ഹാള്‍, നായരമ്പലം പി.ഒ, 682509",കൊച്ചി,നായരമ്പലം,closed,,എല്ലാവിധ അടിസ്ഥാന സൌകര്യങ്ങളും ലഭ്യമാക്കിയിട്ടുണ്ട്,,,,,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,
ptm,Amrutha School,Amrutha School,Thiruvalla,Kavumbhagam,active,,,200,,,,,,,,
ptm,Hotel Ashok,Hotel Ashok,Thiruvalla,Kavumbhagam,active,,,140,,,,,,,,
ekm,ലൊബേലിയ ഹയര്‍ സെക്കന്‍ററി സ്കൂള്‍,"ലൊബേലിയ ഹയര്‍ സെക്കന്‍ററി സ്കൂള്‍, നായരമ്പലം പി.ഒ, 682509",കൊച്ചി,നായരമ്പലം,closed,,എല്ലാവിധ അടിസ്ഥാന സൌകര്യങ്ങളും ലഭ്യമാക്കിയിട്ടുണ്ട്,,,,,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,
ptm,MDLPS Vengal,MDLPS Vengal,Thiruvalla,Kavumbhagam,active,,,90,,,,,,,,
ptm,Vengal Marthoma Church,Vengal Marthoma Church,Thiruvalla,Kavumbhagam,active,,,180,,,,,,,,
ekm,സാഞ്ചോപുരം ഹാള്‍,"സാഞ്ചോപുരം ഹാള്‍, നായരമ്പലം പി.ഒ , 682509",കൊച്ചി,നായരമ്പലം,closed,,എല്ലാവിധ അടിസ്ഥാന സൌകര്യങ്ങളും ലഭ്യമാക്കിയിട്ടുണ്ട്,,,,,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,
ptm,"Concord Chappal,Chanthenkary","Concord Chappal,Chanthenkary",Thiruvalla,Peringara,active,,,96,32,32,32,,,,,
ptm,Karkkal,Karkkal,Thiruvalla,Peringara,active,,,127,41,50,36,,,,,
ptm,SNDP Mepral,SNDP Mepral,Thiruvalla,Peringara,active,,,120,50,40,40,,,,,
ptm,Ganapathipuram SNDP,Ganapathipuram SNDP,Thiruvalla,Peringara,active,,,141,40,90,51,,,,,
